Time in s;CH 2 BITBUS;Time in 250ns TICS;Delta TICs;TIME in ps;Delta in ps;;
0.021619607;0;86478;32;21619607;8036;"#8036 com_rxin = 0;";
0.021622235;1;86489;11;21622235;2628;"#2628 com_rxin = 1;";
0.021624939;0;86500;11;21624939;2704;"#2704 com_rxin = 0;";
0.021627571;1;86510;10;21627571;2632;"#2632 com_rxin = 1;";
0.021635607;0;86542;32;21635607;8036;"#8036 com_rxin = 0;";
0.021638235;1;86553;11;21638235;2628;"#2628 com_rxin = 1;";
0.021640939;0;86564;11;21640939;2704;"#2704 com_rxin = 0;";
0.021643571;1;86574;10;21643571;2632;"#2632 com_rxin = 1;";
0.021646271;0;86585;11;21646271;2700;"#2700 com_rxin = 0;";
0.021648903;1;86596;11;21648903;2632;"#2632 com_rxin = 1;";
0.021651603;0;86606;10;21651603;2700;"#2700 com_rxin = 0;";
0.021654235;1;86617;11;21654235;2632;"#2632 com_rxin = 1;";
0.021656939;0;86628;11;21656939;2704;"#2704 com_rxin = 0;";
0.021659571;1;86638;10;21659571;2632;"#2632 com_rxin = 1;";
0.021662271;0;86649;11;21662271;2700;"#2700 com_rxin = 0;";
0.021664903;1;86660;11;21664903;2632;"#2632 com_rxin = 1;";
0.021667603;0;86670;10;21667603;2700;"#2700 com_rxin = 0;";
0.021672903;1;86692;22;21672903;5300;"#5300 com_rxin = 1;";
0.021675603;0;86702;10;21675603;2700;"#2700 com_rxin = 0;";
0.021678235;1;86713;11;21678235;2632;"#2632 com_rxin = 1;";
0.021683603;0;86734;21;21683603;5368;"#5368 com_rxin = 0;";
0.021686235;1;86745;11;21686235;2632;"#2632 com_rxin = 1;";
0.021688935;0;86756;11;21688935;2700;"#2700 com_rxin = 0;";
0.021691567;1;86766;10;21691567;2632;"#2632 com_rxin = 1;";
0.021694271;0;86777;11;21694271;2704;"#2704 com_rxin = 0;";
0.021696899;1;86788;11;21696899;2628;"#2628 com_rxin = 1;";
0.021699603;0;86798;10;21699603;2704;"#2704 com_rxin = 0;";
0.021702235;1;86809;11;21702235;2632;"#2632 com_rxin = 1;";
0.021704935;0;86820;11;21704935;2700;"#2700 com_rxin = 0;";
